,Unnamed: 0,Time,Force,L_pitchAcc,L_yawAcc,L_surgeAcc,L_rollAcc,L_pitchVel,L_yawVel,L_surgeVel,L_rollVel,L_pitch,L_yaw,L_surge,L_roll,L_x,L_y,L_z,L_motion,R_pitchAcc,R_yawAcc,R_surgeAcc,R_rollAcc,R_pitchVel,R_yawVel,R_surgeVel,R_rollVel,R_pitch,R_yaw,R_surge,R_roll,R_x,R_y,R_z,R_motion
61,61,4.453241109848023,0.0,-0.15,0.13,0.18,0.04,0.19,-0.0,-0.07,0.01,-5.1,7.9,-16.02,2.52,-17.7,0.07,28.75,1.11,-30.19,-32.25,16.09,-17.08,6242.0,-62.0,-34793.0,-843.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
62,62,4.514978408813477,0.0,0.06,0.04,0.28,0.09,0.21,-0.0,0.13,-0.02,-1.31,10.39,0.77,8.17,-5.05,0.05,36.67,0.1,-30.26,-31.63,16.13,-16.59,5939.0,-59.0,-32593.0,-837.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
63,63,4.565838575363159,0.0,0.01,-0.06,0.18,0.0,0.08,0.0,-0.01,-0.01,-0.54,6.97,11.51,8.38,-0.17,0.07,36.08,-0.58,-30.3,-31.22,16.81,-16.09,5929.0,-55.0,-30464.0,-871.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
64,64,4.627637624740601,0.0,0.08,-0.1,-0.15,-0.01,0.0,-0.0,-0.23,-0.0,4.61,0.97,2.53,8.05,-0.05,0.05,21.92,-0.85,-30.01,-31.16,16.97,-15.6,5926.0,-52.0,-29127.0,-923.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
65,65,4.688645362854004,0.0,-0.01,-0.07,-0.26,-0.17,-0.0,0.0,-0.29,0.01,4.13,-3.35,-12.99,-2.22,-0.05,0.05,4.8,-0.32,-29.77,-31.36,16.19,-15.74,5923.0,-49.0,-28839.0,-942.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
66,66,4.7503814697265625,0.0,-0.06,0.0,0.03,-0.11,0.0,-0.0,-0.08,0.01,0.67,-3.06,-11.22,-8.87,-0.03,0.03,-0.31,0.1,-29.72,-31.55,15.49,-16.29,5921.0,-47.0,-28858.0,-936.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
67,67,4.811181306838989,0.0,-0.05,0.09,0.03,-0.08,0.0,-0.0,-0.25,0.01,-2.1,2.15,-9.51,-13.77,0.0,0.0,-15.52,0.45,-29.85,-31.42,14.92,-17.11,5921.0,-47.0,-29789.0,-909.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
68,68,4.873018741607666,0.0,0.02,-0.01,0.13,0.12,0.0,-0.0,0.15,-0.0,-1.02,1.45,-1.73,-6.42,0.0,-0.02,-6.45,0.15,-29.91,-31.33,14.81,-17.51,5921.0,-48.0,-30189.0,-900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
69,69,4.934817790985107,0.0,0.06,-0.02,-0.06,0.02,0.0,-0.0,-0.07,-0.0,2.71,0.47,-5.2,-5.06,1.15,-0.03,-10.57,-0.03,-29.75,-31.3,14.5,-17.81,5990.0,-50.0,-30823.0,-902.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
70,70,4.995691299438477,0.0,-0.0,0.03,0.22,0.03,0.01,-0.0,0.06,0.01,2.7,2.19,7.84,-3.44,1.65,-0.07,-7.08,0.27,-29.59,-31.17,14.97,-18.02,6089.0,-54.0,-31248.0,-886.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
71,71,5.057490110397339,0.0,0.01,0.02,-0.21,-0.08,0.02,-0.0,0.12,-0.01,3.11,3.28,-5.0,-8.01,2.88,-0.1,0.03,-0.13,-29.4,-30.97,14.67,-18.5,6262.0,-60.0,-31246.0,-894.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
72,72,5.118391036987305,0.0,-0.02,0.01,-0.13,-0.1,-0.02,0.0,-0.0,0.0,1.63,4.08,-13.01,-13.89,1.45,-0.07,-0.03,0.07,-29.31,-30.73,13.89,-19.33,6349.0,-64.0,-31248.0,-890.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
73,73,5.180232524871826,0.0,-0.06,-0.03,0.01,-0.1,-0.02,0.0,0.08,0.01,-1.73,2.35,-12.3,-20.15,0.02,0.08,4.56,0.41,-29.41,-30.59,13.14,-20.56,6350.0,-59.0,-30970.0,-865.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
