,Unnamed: 0,Time,Force,L_pitchAcc,L_yawAcc,L_surgeAcc,L_rollAcc,L_pitchVel,L_yawVel,L_surgeVel,L_rollVel,L_pitch,L_yaw,L_surge,L_roll,L_x,L_y,L_z,L_motion,R_pitchAcc,R_yawAcc,R_surgeAcc,R_rollAcc,R_pitchVel,R_yawVel,R_surgeVel,R_rollVel,R_pitch,R_yaw,R_surge,R_roll,R_x,R_y,R_z,R_motion
1647,1647,100.5579707622528,0.0,-0.07,-0.02,0.1,0.16,-0.19,-0.01,-0.1,0.01,-23.35,18.22,16.01,25.73,37.78,-1.3,-18.75,-0.19,-14.96,-19.43,15.18,-19.54,73746.0,1207.0,-53836.0,-510.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1648,1648,100.6198751926422,0.0,0.08,-0.16,0.1,0.05,-0.14,0.0,0.17,-0.01,-18.41,8.25,22.06,28.77,28.94,-1.02,-8.08,-0.9,-16.12,-18.91,16.57,-17.72,75569.0,1143.0,-54345.0,-567.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1649,1649,100.68074703216551,0.0,0.07,-0.01,-0.09,-0.05,-0.2,0.0,0.04,-0.0,-13.82,7.68,16.28,25.61,16.84,-0.89,-5.34,-0.97,-16.98,-18.44,17.58,-16.13,76613.0,1088.0,-54676.0,-627.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1650,1650,100.7426302433014,0.0,-0.03,0.03,-0.08,-0.14,-0.0,-0.0,0.04,0.0,-15.72,9.48,11.19,16.93,16.6,-1.0,-2.65,-0.84,-17.97,-17.84,18.28,-15.07,77659.0,1025.0,-54843.0,-680.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1651,1651,100.80434560775755,0.0,-0.07,-0.06,0.02,0.02,-0.07,-0.0,0.05,0.01,-19.74,5.96,12.51,17.97,12.54,-1.15,0.28,-0.28,-19.17,-17.48,19.04,-13.97,78424.0,955.0,-54826.0,-697.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1652,1652,100.86531496047974,0.0,0.12,0.01,-0.02,-0.07,0.01,0.0,0.01,-0.02,-12.18,6.31,11.12,13.35,13.0,-1.13,1.0,-1.27,-19.93,-17.08,19.73,-13.14,79230.0,885.0,-54764.0,-776.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1653,1653,100.9260139465332,0.0,0.07,0.02,-0.13,-0.08,0.12,0.01,-0.03,0.03,-8.12,7.69,3.42,8.63,20.54,-0.66,-1.05,0.52,-20.42,-16.62,19.94,-12.62,80483.0,845.0,-54828.0,-744.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1654,1654,100.98796582221983,0.0,-0.02,-0.03,-0.09,-0.02,-0.08,0.0,0.0,-0.01,-9.43,6.15,-2.16,7.35,15.47,-0.48,-1.0,-0.28,-20.99,-16.25,19.81,-12.18,81411.0,816.0,-54888.0,-761.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1655,1655,101.04970908164978,0.0,0.09,-0.05,-0.01,-0.03,-0.15,0.0,0.02,0.0,-3.62,3.34,-2.56,5.45,5.94,-0.44,-0.02,0.0,-21.21,-16.04,19.65,-11.84,81779.0,789.0,-54889.0,-761.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1656,1656,101.11049127578735,0.0,-0.05,-0.07,-0.11,-0.07,0.05,0.0,-0.0,0.0,-6.52,-0.7,-8.86,1.09,8.82,-0.22,-0.3,0.02,-21.6,-16.08,19.12,-11.77,82308.0,776.0,-54907.0,-760.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1657,1657,101.17232656478882,0.0,-0.07,0.02,0.09,0.04,0.04,0.0,-0.03,0.0,-11.16,0.35,-3.37,3.86,11.21,-0.15,-2.11,0.16,-22.3,-16.06,18.91,-11.53,83003.0,767.0,-55038.0,-750.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1658,1658,101.23316740989684,0.0,-0.01,0.06,0.06,0.05,0.1,-0.0,0.0,-0.0,-11.79,3.84,0.47,6.77,17.12,-0.23,-1.88,-0.1,-23.0,-15.83,18.94,-11.13,84030.0,753.0,-55151.0,-756.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1659,1659,101.29503774642944,0.0,-0.01,0.04,0.04,-0.02,0.06,0.0,0.03,-0.0,-12.41,6.17,2.93,5.32,20.79,-0.15,-0.28,-0.16,-23.76,-15.45,19.12,-10.8,85298.0,744.0,-55168.0,-766.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1660,1660,101.35583734512328,0.0,0.01,0.04,-0.03,0.02,0.09,0.0,0.04,-0.0,-11.92,8.48,0.8,6.5,25.98,-0.13,2.2,-0.33,-24.49,-14.94,19.17,-10.41,86883.0,736.0,-55034.0,-786.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1661,1661,101.41781544685364,0.0,0.06,-0.04,-0.02,-0.07,-0.02,-0.0,0.09,-0.0,-8.47,6.38,-0.68,2.35,25.07,-0.27,7.65,-0.4,-25.0,-14.55,19.13,-10.27,88387.0,720.0,-54575.0,-810.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1662,1662,101.47851228713988,0.0,0.01,0.03,-0.06,-0.02,-0.12,0.0,0.14,0.01,-7.89,8.02,-4.29,1.21,17.45,-0.16,16.58,0.24,-25.49,-14.06,18.86,-10.19,89469.0,710.0,-53547.0,-795.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1663,1663,101.54037308692932,0.0,-0.01,0.03,-0.06,-0.05,-0.01,0.0,0.08,-0.01,-8.61,9.66,-8.0,-1.8,16.67,-0.08,21.18,-0.15,-26.0,-13.48,18.38,-10.3,90469.0,705.0,-52276.0,-804.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1664,1664,101.60125637054443,0.0,-0.02,0.04,0.07,0.09,0.0,0.0,0.03,-0.0,-10.03,11.93,-3.94,3.74,16.89,-0.08,23.15,-0.29,-26.62,-12.74,18.14,-10.07,91516.0,700.0,-50841.0,-822.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1665,1665,101.65319919586182,0.0,0.0,-0.05,0.09,0.02,-0.06,0.0,0.12,-0.0,-9.82,9.17,1.52,5.07,13.43,-0.03,30.7,-0.54,-27.22,-12.18,18.23,-9.76,92335.0,698.0,-48968.0,-855.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1666,1666,101.7149064540863,0.0,0.04,-0.04,-0.05,0.04,-0.04,-0.0,-0.03,0.0,-7.44,6.85,-1.43,7.25,10.78,-0.03,28.77,-0.25,-27.67,-11.77,18.15,-9.32,92982.0,696.0,-47242.0,-870.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
