,Ref_task1_Time,User_task1_Time,Ref_task1_Force,User_task1_Force,Ref_task1_L_pitchAcc,User_task1_L_pitchAcc,Ref_task1_L_yawAcc,User_task1_L_yawAcc,Ref_task1_L_surgeAcc,User_task1_L_surgeAcc,Ref_task1_L_rollAcc,User_task1_L_rollAcc,Ref_task1_L_pitchVel,User_task1_L_pitchVel,Ref_task1_L_yawVel,User_task1_L_yawVel,Ref_task1_L_surgeVel,User_task1_L_surgeVel,Ref_task1_L_rollVel,User_task1_L_rollVel,Ref_task1_L_pitch,User_task1_L_pitch,Ref_task1_L_yaw,User_task1_L_yaw,Ref_task1_L_surge,User_task1_L_surge,Ref_task1_L_roll,User_task1_L_roll,Ref_task1_L_x,User_task1_L_x,Ref_task1_L_y,User_task1_L_y,Ref_task1_L_z,User_task1_L_z,Ref_task1_L_motion,User_task1_L_motion,Ref_task1_R_pitchAcc,User_task1_R_pitchAcc,Ref_task1_R_yawAcc,User_task1_R_yawAcc,Ref_task1_R_surgeAcc,User_task1_R_surgeAcc,Ref_task1_R_rollAcc,User_task1_R_rollAcc,Ref_task1_R_pitchVel,User_task1_R_pitchVel,Ref_task1_R_yawVel,User_task1_R_yawVel,Ref_task1_R_surgeVel,User_task1_R_surgeVel,Ref_task1_R_rollVel,User_task1_R_rollVel
0,[4.45324111],[6.85018706],[0.],[0.],[-0.15],[-0.01],[0.13],[0.02],[0.18],[0.01],[0.04],[-0.01],[0.19],[0.],[-0.],[-0.],[-0.07],[0.07],[0.01],[-0.],[-5.1],[0.65],[7.9],[1.08],[-16.02],[-5.21],[2.52],[-1.41],[-17.7],[0.],[0.07],[0.02],[28.75],[37.],[1.11],[-0.31],[-30.19],[-18.99],[-32.25],[-25.95],[16.09],[19.08],[-17.08],[-22.82],[6242.],[71397.],[-62.],[829.],[-34793.],[-29265.],[-843.],[-898.]
1,[4.51497841],[6.85018706],[0.],[0.],[0.06],[-0.01],[0.04],[0.02],[0.28],[0.01],[0.09],[0.07],[0.21],[0.],[-0.],[-0.],[0.13],[0.07],[0.01],[0.01],[-1.31],[-0.1],[10.39],[1.31],[0.77],[-5.21],[2.52],[2.9],[-5.05],[-0.02],[0.05],[0.02],[36.67],[37.],[0.1],[0.11],[-30.26],[-19.],[-31.63],[-25.87],[16.13],[18.56],[-16.59],[-22.64],[5939.],[71396.],[-59.],[829.],[-32593.],[-29265.],[-837.],[-891.]
2,[4.56583858],[6.85018706],[0.],[0.],[0.01],[0.02],[-0.06],[0.],[0.18],[0.01],[0.09],[0.09],[0.08],[0.],[-0.],[-0.],[-0.01],[-0.12],[-0.02],[-0.01],[-0.54],[-0.1],[6.97],[1.23],[11.51],[-5.21],[8.17],[8.03],[-0.17],[-0.02],[0.07],[0.02],[36.08],[29.52],[-0.58],[-0.37],[-30.3],[-18.94],[-31.22],[-25.8],[16.81],[18.32],[-16.09],[-22.16],[5929.],[71396.],[-55.],[829.],[-30464.],[-29265.],[-871.],[-891.]
3,[4.62763762],[6.85018706],[0.],[0.],[0.01],[0.02],[-0.1],[-0.],[-0.15],[-0.06],[0.],[-0.01],[0.],[0.],[-0.],[-0.],[-0.23],[-0.16],[-0.01],[-0.01],[4.61],[0.9],[0.97],[0.69],[2.53],[-5.21],[8.38],[7.7],[-0.05],[-0.02],[0.05],[0.02],[21.92],[19.88],[-0.58],[-0.44],[-30.01],[-18.81],[-31.16],[-25.76],[16.97],[17.92],[-15.6],[-21.69],[5926.],[71396.],[-52.],[829.],[-29127.],[-29265.],[-923.],[-913.]
4,[4.68864536],[6.85018706],[0.],[0.],[0.01],[0.01],[-0.07],[-0.01],[-0.26],[-0.06],[-0.01],[-0.01],[0.],[0.],[-0.],[-0.],[-0.29],[-0.16],[-0.],[-0.],[4.13],[0.9],[-3.35],[0.88],[-12.99],[-8.58],[8.05],[5.16],[-0.05],[-0.02],[0.05],[0.02],[21.92],[21.2],[-0.85],[-0.72],[-29.77],[-18.65],[-31.36],[-25.7],[16.97],[17.34],[-15.74],[-21.38],[5923.],[71396.],[-49.],[829.],[-28839.],[-29265.],[-942.],[-940.]
5,[4.75038147],[6.85018706],[0.],[0.],[0.01],[0.01],[0.],[0.],[0.03],[0.08],[-0.17],[-0.04],[0.],[0.],[-0.],[-0.],[-0.08],[-0.16],[-0.],[-0.],[0.67],[0.9],[-3.06],[0.99],[-11.22],[-8.58],[8.05],[7.6],[-0.03],[-0.02],[0.03],[0.],[21.92],[19.28],[-0.32],[-0.27],[-29.72],[-18.46],[-31.55],[-25.64],[16.19],[16.69],[-16.29],[-20.93],[5921.],[71396.],[-47.],[831.],[-28858.],[-29265.],[-942.],[-983.]
6,[4.81118131],[6.85018706],[0.],[0.],[0.08],[0.01],[0.],[0.],[0.03],[0.08],[-0.11],[-0.04],[0.],[0.],[-0.],[-0.],[-0.25],[-0.16],[0.01],[0.01],[-2.1],[0.9],[2.15],[1.32],[-9.51],[-8.58],[8.05],[3.26],[0.],[0.],[0.],[0.],[21.92],[20.17],[-0.32],[-0.18],[-29.85],[-18.33],[-31.42],[-25.56],[15.49],[15.63],[-17.11],[-20.73],[5921.],[71396.],[-47.],[831.],[-29789.],[-29265.],[-942.],[-999.]
7,[4.87301874],[6.85018706],[0.],[0.],[-0.01],[-0.02],[0.],[0.01],[0.13],[0.08],[-0.08],[-0.04],[0.],[0.],[-0.],[-0.],[0.15],[0.02],[0.01],[0.01],[-1.02],[0.9],[1.45],[1.4],[-1.73],[-4.03],[8.05],[-1.47],[0.],[0.],[0.],[0.],[21.92],[18.34],[-0.32],[-0.02],[-29.91],[-18.23],[-31.33],[-25.48],[14.92],[14.41],[-17.51],[-20.81],[5921.],[71396.],[-48.],[831.],[-30189.],[-29265.],[-942.],[-1010.]
8,[4.93481779],[6.85018706],[0.],[0.],[-0.01],[-0.01],[0.],[0.],[-0.06],[-0.04],[0.12],[0.04],[0.],[0.],[-0.],[-0.],[-0.07],[-0.03],[0.01],[0.01],[2.71],[2.15],[0.47],[1.4],[-5.2],[-4.03],[-2.22],[1.45],[0.],[0.],[0.],[0.],[21.92],[24.63],[-0.32],[-0.19],[-29.75],[-18.18],[-31.3],[-25.37],[14.81],[14.41],[-17.81],[-20.72],[5990.],[71396.],[-50.],[831.],[-30823.],[-29265.],[-942.],[-1011.]
9,[4.9956913],[6.85018706],[0.],[0.],[-0.01],[-0.01],[0.],[0.],[-0.06],[-0.05],[0.02],[0.04],[0.],[0.],[-0.],[-0.],[0.06],[0.01],[-0.],[0.],[2.7],[2.15],[2.19],[1.69],[7.84],[-4.03],[-2.22],[2.17],[0.],[0.],[0.],[0.03],[21.92],[24.66],[-0.32],[-0.45],[-29.59],[-18.14],[-31.17],[-25.26],[14.5],[14.41],[-18.02],[-20.59],[6089.],[71396.],[-54.],[831.],[-31248.],[-29265.],[-942.],[-1023.]
