,Time,Force,L_pitchAcc,L_yawAcc,R_pitchAcc,R_yawAcc,L_surgeAcc,L_rollAcc,R_surgeAcc,R_rollAcc,L_pitchVel,L_yawVel,R_pitchVel,R_yawVel,L_surgeVel,L_rollVel,R_surgeVel,R_rollVel,L_pitch,L_yaw,R_pitch,R_yaw,L_surge,L_roll,R_surge,R_roll,R_x,R_y,R_z,L_x,L_y,L_z,L_motion,R_motion
0,0.079,0.13,0.00,0.01,0.01,0.01,-0.00,0.00,-1.25,-1.25,0.07,0.00,0.43,0.19,0.00,0.00,0.00,0.00,1.18,-52.30,-0.69,-54.34,124028.00,-4611.00,2073442.00,2785843.00,0.86,0.03,0.63,0.85,-0.03,0.60,0,1
1,0.128,0.16,0.00,-0.00,-0.00,-0.01,-0.00,0.00,-1.25,-1.25,0.16,-0.09,0.33,-0.23,0.00,0.00,0.00,0.00,1.19,-52.31,-0.67,-54.35,124028.00,-4611.00,2073442.00,2785843.00,0.85,0.03,0.62,0.86,-0.01,0.59,0,1
2,0.178,0.15,-0.00,0.00,-0.01,0.00,-0.00,0.00,-1.25,-1.25,0.04,-0.06,-0.32,-0.04,0.00,0.00,0.00,0.00,1.19,-52.31,-0.69,-54.35,124028.00,-4611.00,2073442.00,2785843.00,0.85,0.04,0.62,0.86,-0.02,0.59,0,1
3,0.23,0.13,-0.00,0.01,-0.00,0.01,-0.00,0.00,-1.25,-1.25,-0.17,0.27,-0.34,0.26,0.00,0.00,0.00,0.00,1.18,-52.30,-0.71,-54.34,124028.00,-4611.00,2073442.00,2785843.00,0.85,0.04,0.63,0.86,-0.01,0.59,0,1
4,0.28,0.13,0.00,-0.01,0.01,-0.01,-0.00,0.00,-1.25,-1.25,-0.04,-0.16,0.08,-0.21,0.00,0.00,0.00,0.00,1.18,-52.31,-0.70,-54.35,124028.00,-4611.00,2073442.00,2785843.00,0.86,0.03,0.62,0.85,-0.02,0.59,0,1
5,0.329,0.13,0.00,-0.00,0.00,-0.00,-0.00,0.00,-1.25,-1.25,0.11,-0.25,0.33,-0.23,0.00,0.00,0.00,0.00,1.18,-52.32,-0.69,-54.36,124028.00,-4611.00,2073442.00,2785843.00,0.85,0.03,0.62,0.84,-0.02,0.59,0,1
6,0.382,0.15,-0.00,0.01,-0.00,-0.00,-0.00,0.00,-1.25,-1.25,-0.00,0.34,0.23,-0.27,0.00,0.00,0.00,0.00,1.18,-52.30,-0.67,-54.38,124028.00,-4611.00,2073442.00,2785843.00,0.85,0.04,0.63,0.86,-0.02,0.59,0,1
7,0.431,0.14,-0.00,-0.01,-0.01,0.00,-0.00,0.00,-1.25,-1.25,-0.17,-0.09,-0.21,-0.15,0.00,0.00,0.00,0.00,1.18,-52.31,-0.69,-54.39,124028.00,-4611.00,2073442.00,2785843.00,0.85,0.03,0.63,0.86,-0.02,0.60,0,1
8,0.481,0.14,0.00,0.00,-0.00,0.00,-0.00,0.00,-1.25,-1.25,-0.06,-0.01,-0.40,0.10,0.00,0.00,0.00,0.00,1.17,-52.31,-0.71,-54.38,124028.00,-4611.00,2073442.00,2785843.00,0.86,0.03,0.63,0.86,-0.01,0.59,0,1
9,0.53,0.12,0.00,0.00,0.01,-0.00,-0.00,0.00,-1.25,-1.25,0.03,0.03,0.22,-0.06,0.00,0.00,0.00,0.00,1.17,-52.31,-0.70,-54.38,124028.00,-4611.00,2073442.00,2785843.00,0.85,0.04,0.62,0.85,-0.02,0.59,0,1
