,Time,Force,L_pitchAcc,L_yawAcc,L_surgeAcc,L_rollAcc,L_pitchVel,L_yawVel,L_surgeVel,L_rollVel,L_pitch,L_yaw,L_surge,L_roll,L_x,L_y,L_z,L_motion,R_pitchAcc,R_yawAcc,R_surgeAcc,R_rollAcc,R_pitchVel,R_yawVel,R_surgeVel,R_rollVel,R_pitch,R_yaw,R_surge,R_roll,R_x,R_y,R_z,R_motion
0,0.8647713661193848,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.87,-50.97,6.62,-46.23,0.00,-1.00,-7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
1,0.9166464805603027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.97,-0.80,-1.94,-1.28,0.00,0.07,0.10,0.00,-5.70,-51.00,6.54,-46.29,-5.00,2.00,-3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2,0.9683723449707031,0.00,-0.01,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,3.17,-0.72,-1.78,-1.41,0.00,0.00,0.02,0.02,-5.53,-51.04,6.44,-46.36,-5.00,2.00,-2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1
3,1.0292034149169922,0.00,-0.01,0.00,0.00,0.01,0.00,-0.00,-0.00,-0.00,2.68,-0.50,-1.59,-0.82,-0.04,-0.07,0.00,0.00,-5.38,-51.07,6.35,-46.41,-7.00,-2.00,-2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0
4,1.0900907516479492,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,2.70,-0.57,-1.54,-0.81,-0.13,-0.13,0.00,0.00,-5.23,-51.10,6.27,-46.46,-14.00,-9.00,-2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0
5,1.1419529914855957,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,2.93,-0.37,-1.49,-0.95,-0.14,-0.07,0.00,0.00,-5.06,-51.12,6.18,-46.51,-22.00,-13.00,-2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0
6,1.2028357982635498,0.00,-0.00,-0.01,0.00,0.00,0.00,-0.00,-0.00,-0.00,2.78,-0.74,-1.47,-0.93,-0.05,-0.22,0.00,0.00,-4.90,-51.16,6.10,-46.56,-25.00,-26.00,-2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0
7,1.2538018226623535,0.00,-0.02,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,1.87,-0.59,-1.28,-1.01,0.00,-0.02,0.00,0.00,-4.79,-51.20,6.02,-46.62,-25.00,-27.00,-2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0
8,1.3156068325042725,0.00,0.01,0.01,-0.00,0.00,0.00,0.00,-0.00,-0.00,2.29,-0.30,-1.38,-0.96,0.00,0.00,0.00,0.00,-4.66,-51.22,5.95,-46.68,-25.00,-27.00,-2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
9,1.3664283752441406,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,2.28,-0.47,-1.28,-0.81,-0.14,0.18,0.00,0.00,-4.53,-51.24,5.87,-46.72,-33.00,-17.00,-2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0
10,1.428269386291504,0.00,-0.00,-0.01,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,2.07,-0.93,-1.21,-0.91,-0.18,0.14,0.00,0.00,-4.42,-51.29,5.81,-46.77,-43.00,-9.00,-2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0
11,1.4890599250793457,0.00,0.00,0.01,-0.00,0.00,0.00,-0.00,-0.00,-0.00,2.13,-0.63,-1.42,-0.75,-0.05,0.07,0.00,0.00,-4.29,-51.33,5.72,-46.82,-46.00,-5.00,-2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0
12,1.5408906936645508,0.00,0.01,0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,2.46,-0.38,-1.30,-0.79,-0.05,0.00,0.00,0.00,-4.15,-51.35,5.65,-46.86,-49.00,-5.00,-2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0
13,1.601773738861084,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,2.24,-0.27,-1.11,-0.78,0.00,0.02,0.00,0.00,-4.03,-51.37,5.59,-46.91,-49.00,-4.00,-2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0
14,1.6527340412139893,0.00,-0.00,-0.01,-0.01,0.00,0.00,-0.00,-0.00,-0.00,1.97,-0.66,-1.39,-0.77,0.00,0.00,0.00,0.00,-3.92,-51.40,5.51,-46.95,-49.00,-4.00,-2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
15,1.7145330905914307,0.00,0.00,0.01,0.00,0.00,0.00,-0.00,-0.00,-0.00,2.23,-0.34,-1.18,-0.74,0.00,-0.05,0.00,0.00,-3.79,-51.42,5.44,-46.99,-49.00,-7.00,-2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0
16,1.76531982421875,0.00,0.00,-0.01,-0.00,-0.00,0.00,0.00,-0.00,-0.00,2.27,-0.69,-1.21,-0.86,0.00,-0.04,0.00,0.00,-3.66,-51.46,5.37,-47.04,-49.00,-9.00,-2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0
17,1.8272216320037842,0.00,0.10,0.01,-0.04,-0.00,0.00,-0.00,-0.00,-0.00,8.19,0.07,-3.33,-0.92,0.04,-0.05,0.04,0.00,-3.19,-51.46,5.18,-47.09,-47.00,-12.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
18,1.8879926204681396,0.00,-0.12,-0.02,-0.15,-0.01,-0.00,0.00,0.00,-0.00,1.11,-0.96,-11.97,-1.36,-0.04,-0.02,0.04,-0.75,-3.13,-51.51,4.50,-47.17,-49.00,-13.00,8.00,-41.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
