,Ref_task1_Time,User_task1_Time,Ref_task1_Force,User_task1_Force,Ref_task1_L_pitchAcc,User_task1_L_pitchAcc,Ref_task1_L_yawAcc,User_task1_L_yawAcc,Ref_task1_R_pitchAcc,User_task1_R_pitchAcc,Ref_task1_R_yawAcc,User_task1_R_yawAcc,Ref_task1_L_surgeAcc,User_task1_L_surgeAcc,Ref_task1_L_rollAcc,User_task1_L_rollAcc,Ref_task1_R_surgeAcc,User_task1_R_surgeAcc,Ref_task1_R_rollAcc,User_task1_R_rollAcc,Ref_task1_L_pitchVel,User_task1_L_pitchVel,Ref_task1_L_yawVel,User_task1_L_yawVel,Ref_task1_R_pitchVel,User_task1_R_pitchVel,Ref_task1_R_yawVel,User_task1_R_yawVel,Ref_task1_L_surgeVel,User_task1_L_surgeVel,Ref_task1_L_rollVel,User_task1_L_rollVel,Ref_task1_R_surgeVel,User_task1_R_surgeVel,Ref_task1_R_rollVel,User_task1_R_rollVel,Ref_task1_L_pitch,User_task1_L_pitch,Ref_task1_L_yaw,User_task1_L_yaw,Ref_task1_R_pitch,User_task1_R_pitch,Ref_task1_R_yaw,User_task1_R_yaw,Ref_task1_L_surge,User_task1_L_surge,Ref_task1_L_roll,User_task1_L_roll,Ref_task1_R_surge,User_task1_R_surge,Ref_task1_R_roll,User_task1_R_roll
0,[3.465],[2.291],[0.16],[0.14],[-0.18],[-0.07],[0.04],[-0.01],[0.13],[0.19],[0.45],[0.01],[-0.],[-0.],[0.],[0.],[0.],[-1.25],[-1.33],[-1.25],[6.51],[-0.13],[0.24],[-1.61],[94.16],[8.87],[42.6],[7.83],[0.],[-0.2],[0.],[0.94],[0.],[0.],[0.],[0.],[5.15],[1.51],[-51.93],[-52.29],[11.41],[0.54],[-49.99],[-53.78],[-494.],[124022.],[-1012.],[-4541.],[3724741.],[2073442.],[4360212.],[2785843.]
1,[3.465],[2.34],[0.12],[0.11],[-0.04],[-0.07],[-0.01],[-0.01],[0.25],[1.95],[-0.3],[0.01],[-0.],[0.],[0.],[0.],[0.],[-1.25],[-1.33],[-1.25],[4.66],[3.12],[0.24],[2.99],[106.44],[106.5],[28.01],[40.11],[0.],[0.08],[0.],[0.98],[0.],[0.],[0.],[0.],[5.38],[1.67],[-51.95],[-52.15],[11.41],[5.86],[-49.99],[-51.78],[-496.],[124026.],[-1012.],[-4492.],[3724741.],[2073442.],[4360212.],[2785843.]
2,[3.465],[2.389],[0.12],[0.12],[-0.14],[-0.07],[0.01],[0.09],[0.25],[0.34],[0.27],[0.65],[-0.],[-0.],[0.],[-0.],[0.],[-1.25],[-1.33],[-1.25],[-2.71],[1.25],[0.24],[0.15],[106.44],[123.14],[41.64],[40.11],[0.],[0.],[0.],[0.41],[0.],[0.],[0.],[0.],[5.24],[1.73],[-51.94],[-52.14],[11.41],[11.9],[-48.61],[-49.23],[-494.],[124026.],[-1013.],[-4472.],[3724741.],[2073442.],[4360212.],[2785843.]
3,[3.465],[2.442],[0.13],[0.13],[-0.01],[0.06],[-0.02],[-0.06],[-1.66],[-0.66],[0.24],[0.24],[-0.],[-0.],[0.],[-0.],[0.],[-1.25],[-1.33],[-1.25],[-3.41],[-1.76],[-0.3],[-0.2],[106.44],[89.52],[53.49],[52.02],[0.],[0.],[0.],[0.25],[0.],[0.],[0.],[0.],[5.07],[1.64],[-51.98],[-52.15],[16.63],[16.46],[-46.49],[-45.03],[-489.],[124026.],[-1015.],[-4459.],[3757285.],[2073442.],[4392756.],[2785843.]
4,[3.465],[2.491],[0.13],[0.13],[-0.04],[-0.04],[-0.],[-0.01],[-0.02],[0.34],[0.24],[0.6],[-0.],[-0.],[0.],[0.],[-1.3],[-1.25],[-1.3],[-1.25],[-5.37],[-1.76],[0.18],[-0.2],[106.44],[107.03],[53.49],[82.39],[-0.04],[0.],[-0.02],[0.39],[0.],[0.],[0.],[0.],[4.8],[1.71],[-52.03],[-52.18],[17.75],[16.46],[-43.87],[-45.03],[-501.],[124033.],[-1022.],[-4439.],[3757285.],[2073442.],[4392756.],[2785843.]
5,[3.465],[2.54],[0.11],[0.12],[-0.04],[-0.06],[0.01],[-0.01],[0.43],[0.34],[-0.42],[-0.55],[-0.],[-0.],[0.],[0.],[-1.3],[-1.25],[-1.3],[-1.25],[-2.1],[-1.76],[-0.78],[-0.7],[21.98],[65.],[53.49],[54.24],[0.04],[0.],[-0.04],[0.62],[0.],[0.],[0.],[0.],[4.69],[1.76],[-52.05],[-52.16],[18.77],[16.46],[-42.24],[-42.26],[-508.],[124033.],[-1041.],[-4408.],[3759430.],[2073442.],[4392697.],[2785843.]
6,[3.465],[2.594],[0.15],[0.14],[0.06],[0.06],[0.05],[-0.01],[-0.14],[-0.84],[0.12],[0.01],[-0.],[-0.],[0.],[-0.],[-0.02],[-1.25],[0.],[-1.25],[-2.07],[-1.76],[-0.95],[-0.7],[20.85],[42.46],[53.49],[54.91],[0.1],[0.14],[-0.14],[-0.92],[0.],[0.],[0.],[0.],[4.59],[1.77],[-52.05],[-52.14],[20.94],[21.92],[-40.29],[-39.52],[-509.],[123931.],[-1068.],[-4454.],[3761133.],[2073442.],[4392653.],[2785843.]
7,[3.465],[2.643],[0.13],[0.12],[0.],[-0.01],[-0.05],[-0.01],[-0.22],[-0.45],[-0.07],[-0.24],[-0.],[0.],[0.],[0.],[-0.02],[-1.25],[0.],[-1.25],[0.04],[1.47],[-0.56],[-0.7],[42.59],[42.46],[31.99],[42.8],[-0.24],[0.],[-0.14],[-0.12],[0.],[0.],[0.],[0.],[4.59],[1.77],[-52.05],[-52.13],[22.75],[21.92],[-38.57],[-37.38],[-507.],[123930.],[-1096.],[-4460.],[3762271.],[2073442.],[4392616.],[2785843.]
8,[3.465],[2.696],[0.11],[0.12],[0.04],[-0.01],[-0.01],[-0.01],[-0.22],[-0.26],[-0.07],[-0.08],[-0.],[-0.],[0.],[-0.],[1.21],[-1.25],[1.26],[-1.25],[6.79],[1.47],[2.05],[-0.7],[35.55],[29.02],[38.1],[38.92],[-0.14],[0.],[-0.37],[-0.35],[0.],[0.],[0.],[0.],[4.94],[1.77],[-52.05],[-52.14],[23.98],[25.17],[-36.31],[-35.39],[-506.],[123921.],[-1090.],[-4478.],[3795023.],[2073442.],[4425368.],[2785843.]
9,[3.465],[2.746],[0.12],[0.12],[0.13],[-0.01],[0.03],[0.02],[0.11],[-0.01],[0.21],[0.1],[-0.],[0.],[0.],[-0.],[-1.24],[-1.25],[-1.26],[-1.25],[7.23],[1.47],[-0.3],[-0.7],[24.5],[28.27],[34.45],[38.92],[-0.02],[0.],[-0.54],[-0.38],[0.],[0.],[0.],[0.],[5.31],[1.77],[-52.05],[-52.1],[25.48],[25.17],[-34.02],[-33.14],[-540.],[124001.],[-1117.],[-4498.],[3795610.],[2073442.],[4425341.],[2785843.]
